System,Name,Direction,Standard ID,Cycle time (ms),Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Description,Encoding,Range,Unit
Inverter FR,Status,Transmit,0x192,10,Status word (LSB),Status word (MSB),Feedback Tq (LSB),Feedback Tq (MSB),Speed (LSB),Speed (MSB),,,Front Right inverter status,16-bit unsigned + 16-bit signed + 16-bit signed,0-65535 ±32767 ±32767,hex 1/1000 rated torque RPM
Inverter FR,State,Transmit,0x292,100,DC volt (LSB),DC volt (MSB),DC current (LSB),DC current (MSB),,,,,,Front Right inverter power,16-bit unsigned + 16-bit unsigned,0-65535 0-65535,1/100V/LSB 1/100A/LSB
Inverter FR,Temperature,Transmit,0x392,100,Inv MOS temp (LSB),Inv MOS temp (MSB),MCU temp (LSB),MCU temp (MSB),Motor temp (LSB),Motor temp (MSB),,,Front Right inverter temperatures,16-bit signed * 3,±32767 each,0.1°C/LSB
Inverter FR,Heartbeat,Transmit,0x712,100,0x7F,,,,,,,,,Front Right heartbeat,8-bit constant,0x7F = OK,boolean
Inverter FR,Control,Receive,0x212,N/A,Control word (LSB),Control word (MSB),Target Tq (LSB),Target Tq (MSB),,,,,,Front Right control commands,16-bit unsigned + 16-bit signed,0-65535 ±32767,hex 1/1000 rated torque
,,,,,,,,,,,,,,,,
Inverter RL,Status,Transmit,0x193,10,Status word (LSB),Status word (MSB),Feedback Tq (LSB),Feedback Tq (MSB),Speed (LSB),Speed (MSB),,,Rear Left inverter status,16-bit unsigned + 16-bit signed + 16-bit signed,0-65535 ±32767 ±32767,hex 1/1000 rated torque RPM
Inverter RL,State,Transmit,0x293,100,DC volt (LSB),DC volt (MSB),DC current (LSB),DC current (MSB),,,,,,Rear Left inverter power,16-bit unsigned + 16-bit unsigned,0-65535 0-65535,1/100V/LSB 1/100A/LSB
Inverter RL,Temperature,Transmit,0x393,100,Inv MOS temp (LSB),Inv MOS temp (MSB),MCU temp (LSB),MCU temp (MSB),Motor temp (LSB),Motor temp (MSB),,,Rear Left inverter temperatures,16-bit signed * 3,±32767 each,0.1°C/LSB
Inverter RL,Heartbeat,Transmit,0x713,100,0x7F,,,,,,,,,Rear Left heartbeat,8-bit constant,0x7F = OK,boolean
Inverter RL,Control,Receive,0x213,N/A,Control word (LSB),Control word (MSB),Target Tq (LSB),Target Tq (MSB),,,,,,Rear Left control commands,16-bit unsigned + 16-bit signed,0-65535 ±32767,hex 1/1000 rated torque
,,,,,,,,,,,,,,,,
Inverter RR,Status,Transmit,0x194,10,Status word (LSB),Status word (MSB),Feedback Tq (LSB),Feedback Tq (MSB),Speed (LSB),Speed (MSB),,,Rear Right inverter status,16-bit unsigned + 16-bit signed + 16-bit signed,0-65535 ±32767 ±32767,hex 1/1000 rated torque RPM
Inverter RR,State,Transmit,0x294,100,DC volt (LSB),DC volt (MSB),DC current (LSB),DC current (MSB),,,,,,Rear Right inverter power,16-bit unsigned + 16-bit unsigned,0-65535 0-65535,1/100V/LSB 1/100A/LSB
Inverter RR,Temperature,Transmit,0x394,100,Inv MOS temp (LSB),Inv MOS temp (MSB),MCU temp (LSB),MCU temp (MSB),Motor temp (LSB),Motor temp (MSB),,,Rear Right inverter temperatures,16-bit signed * 3,±32767 each,0.1°C/LSB
Inverter RR,Heartbeat,Transmit,0x714,100,0x7F,,,,,,,,,Rear Right heartbeat,8-bit constant,0x7F = OK,boolean
Inverter RR,Control,Receive,0x214,N/A,Control word (LSB),Control word (MSB),Target Tq (LSB),Target Tq (MSB),,,,,,Rear Right control commands,16-bit unsigned + 16-bit signed,0-65535 ±32767,hex 1/1000 rated torque
