Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1750909988827689,00000101,false,Rx,0,8,A5,22,30,B9,CA,61,5E,40,00,00,00,00
1750909988828008,00000102,false,Rx,0,8,19,37,E5,D6,36,CA,3E,40,00,00,00,00
1750909989328074,00000100,false,Rx,0,8,F6,16,0E,68,79,03,39,40,00,00,00,00
1750909989329023,00000101,false,Rx,0,8,84,E5,2B,EE,CA,61,5E,40,00,00,00,00
1750909989329795,00000102,false,Rx,0,8,92,9C,26,5B,3B,49,3D,40,00,00,00,00
1750909989827423,00000100,false,Rx,0,8,FB,37,2F,4E,7C,03,39,40,00,00,00,00
1750909989827896,00000101,false,Rx,0,8,D6,C6,AF,44,CB,61,5E,40,00,00,00,00
1750909989828271,00000102,false,Rx,0,8,0A,34,B2,CB,7C,2B,3C,40,00,00,00,00
1750909990328223,00000100,false,Rx,0,8,63,4A,F2,EC,7E,03,39,40,00,00,00,00
1750909990328910,00000101,false,Rx,0,8,DA,D2,1A,BA,CB,61,5E,40,00,00,00,00
1750909990329524,00000102,false,Rx,0,8,9E,D3,0B,32,72,93,3B,40,00,00,00,00
1750909990827430,00000100,false,Rx,0,8,6C,D4,F5,2F,81,03,39,40,00,00,00,00
1750909990827969,00000101,false,Rx,0,8,5C,B5,DB,4A,CC,61,5E,40,00,00,00,00
1750909990828333,00000102,false,Rx,0,8,9A,D3,0B,32,72,93,3B,40,00,00,00,00
1750909991328316,00000100,false,Rx,0,8,7D,04,A2,05,83,03,39,40,00,00,00,00
1750909991329680,00000101,false,Rx,0,8,F6,79,8C,F2,CC,61,5E,40,00,00,00,00
1750909991330831,00000102,false,Rx,0,8,00,34,B2,CB,7C,2B,3C,40,00,00,00,00
1750909991828288,00000100,false,Rx,0,8,C2,89,B1,5F,84,03,39,40,00,00,00,00
1750909991829533,00000101,false,Rx,0,8,38,C2,14,AC,CD,61,5E,40,00,00,00,00
1750909991830291,00000102,false,Rx,0,8,82,9C,26,5B,3B,49,3D,40,00,00,00,00
1750909992327627,00000100,false,Rx,0,8,40,95,A0,33,85,03,39,40,00,00,00,00
1750909992328304,00000101,false,Rx,0,8,99,67,D1,71,CE,61,5E,40,00,00,00,00
1750909992328818,00000102,false,Rx,0,8,05,37,E5,D6,36,CA,3E,40,00,00,00,00
1750909992827314,00000100,false,Rx,0,8,DF,A3,FE,7A,85,03,39,40,00,00,00,00
1750909992827740,00000101,false,Rx,0,8,EF,54,C0,3D,CF,61,5E,40,00,00,00,00
1750909992828112,00000102,false,Rx,0,8,F9,FF,FF,FF,FF,3F,40,40,00,00,00,00
1750909993328031,00000100,false,Rx,0,8,DF,A3,FE,7A,85,03,39,40,00,00,00,00
1750909993328498,00000101,false,Rx,0,8,EF,54,C0,3D,CF,61,5E,40,00,00,00,00
1750909993328912,00000102,false,Rx,0,8,00,00,00,00,00,40,40,40,00,00,00,00
1750909993827440,00000100,false,Rx,0,8,40,95,A0,33,85,03,39,40,00,00,00,00
1750909993828024,00000101,false,Rx,0,8,45,42,AF,09,D0,61,5E,40,00,00,00,00
1750909993828706,00000102,false,Rx,0,8,78,64,8D,94,E4,1A,41,40,00,00,00,00
1750909994327416,00000100,false,Rx,0,8,C2,89,B1,5F,84,03,39,40,00,00,00,00
1750909994327883,00000101,false,Rx,0,8,A6,E7,6B,CF,D0,61,5E,40,00,00,00,00
1750909994328168,00000102,false,Rx,0,8,BA,B1,6C,52,62,DB,41,40,00,00,00,00
1750909994827135,00000100,false,Rx,0,8,7D,04,A2,05,83,03,39,40,00,00,00,00
1750909994827434,00000101,false,Rx,0,8,E8,2F,F4,88,D1,61,5E,40,00,00,00,00
1750909994827613,00000102,false,Rx,0,8,FD,E5,26,9A,41,6A,42,40,00,00,00,00
1750909995327265,00000100,false,Rx,0,8,6C,D4,F5,2F,81,03,39,40,00,00,00,00
1750909995327744,00000101,false,Rx,0,8,82,F4,A4,30,D2,61,5E,40,00,00,00,00
1750909995328068,00000102,false,Rx,0,8,32,16,FA,E6,46,B6,42,40,00,00,00,00
